t rank_raw rank_fix rank_exp sr_raw sr_fix sr_exp pred_diff roundtrip theta_max_frac jac_equiv
0 36 20 33 1432884.748625 1.000000 1362904.453943 2.264977e-04 0.000000e+00 1.009540 1.070258e+06
1 33 36 33 1.296174 1.000000 1.370791 1.626027e-02 5.960464e-08 0.699540 1.665959e+01
2 33 34 31 1.857150 1.000000 1.696183 1.897787e-02 5.960464e-08 0.699517 5.162736e+00
3 33 33 33 11.525378 1.000000 11.520437 9.919494e-03 1.192093e-07 0.699586 9.697996e+00
4 33 36 31 1.271655 1.000000 1.256577 7.696446e-03 0.000000e+00 0.699789 3.414322e+00
5 33 34 32 5.261362 1.000000 5.260876 2.883896e-03 2.384186e-07 0.699969 7.861248e+00
6 33 34 32 8.292660 1.000000 8.447885 7.607572e-03 5.960464e-08 0.700143 8.756760e+00
7 33 35 33 2.002977 1.000000 1.951400 4.359066e-03 0.000000e+00 0.700356 3.307620e+00
8 33 35 33 1.006453 1.000000 1.006452 3.416680e-03 2.384186e-07 0.700628 7.433177e+00
9 33 34 33 4.523827 1.000000 4.556563 3.669888e-03 2.980232e-08 0.700815 8.018565e+00
10 33 34 32 2.698268 1.000000 2.726622 7.465497e-03 0.000000e+00 0.700928 5.234283e+00
11 33 34 31 3.379859 1.000000 3.395505 5.004950e-03 2.384186e-07 0.701026 4.795404e+00
12 33 35 31 2.378818 1.000000 2.551414 1.165608e-02 5.960464e-08 0.701154 5.943384e+00
13 33 35 31 1.841774 1.000000 1.739681 6.617144e-03 5.960464e-08 0.701091 3.848167e+00
14 33 36 31 1.140816 1.000000 1.131498 6.462581e-03 1.192093e-07 0.700893 7.712641e+00
15 33 35 32 1.058964 1.000000 1.060981 3.230110e-03 2.384186e-07 0.700654 8.119343e+00
16 33 34 31 3.965734 1.000000 3.846980 5.161494e-03 2.384186e-07 0.700436 4.341222e+00
17 33 36 31 1.125438 1.000000 1.125677 3.953598e-03 5.960464e-08 0.700275 4.855024e+00
18 33 35 31 1.002343 1.000000 1.004250 4.017957e-03 5.960464e-08 0.700092 6.331203e+00
19 33 35 32 1.000270 1.000000 1.001172 1.428276e-03 0.000000e+00 0.699869 6.681775e+00
